Long,Lat
-51.04136545,-22.67004388
-51.04027949,-22.67073495
-51.03918119,-22.67190729
-51.03725608,-22.67336346
-51.03560246,-22.67460368
-51.03383777,-22.67568347
-51.03344288,-22.67594262
-51.03753066,-22.67592411
-51.04140556,-22.67588092
-51.04528046,-22.67575751
-51.04513238,-22.67534411
-51.04365769,-22.67398666
-51.04218918,-22.67264155
-51.04189301,-22.67234538
-51.04159067,-22.67183942
-51.04121428,-22.67142601
-51.04122662,-22.67124091
-51.04172024,-22.6710558
-51.0418745,-22.67090154
-51.04160301,-22.67048197
